Image,Thumb,Title,Location,Direction
jpn001.jpg,jpn001.thumb.jpg,Delta Airlines @ TPE,Tokyo,L
jpn002.jpg,jpn002.thumb.jpg,Odaiba from Tokyo Tower,Tokyo,L
jpn003.jpg,jpn003.thumb.jpg,Akabanebashi,Tokyo,L
jpn004.jpg,jpn004.thumb.jpg,Meiji shrine,Tokyo,L
jpn005.jpg,jpn005.thumb.jpg,Meiji shrine,Tokyo,L
jpn006.jpg,jpn006.thumb.jpg,Lotteria @ Ikebukuro,Tokyo,P
jpn007.jpg,jpn007.thumb.jpg,Oji,Tokyo,L
jpn008.jpg,jpn008.thumb.jpg,Suitengu,Tokyo,L
jpn009.jpg,jpn009.thumb.jpg,Ad in subway station,Tokyo,L
jpn010.jpg,jpn010.thumb.jpg,Sushi,Tokyo,L
jpn011.jpg,jpn011.thumb.jpg,Tokyo Sky Tree,Tokyo,L
jpn012.jpg,jpn012.thumb.jpg,Asakusa,Tokyo,P
jpn013.jpg,jpn013.thumb.jpg,Tokyo Tower,Tokyo,L
jpn014.jpg,jpn014.thumb.jpg,JR Ueno station,Tokyo,L
jpn015.jpg,jpn015.thumb.jpg,Hakone Shrine,Tokyo,P
jpn016.jpg,jpn016.thumb.jpg,Flower,Tokyo,L
jpn017.jpg,jpn017.thumb.jpg,Soba bistro,Tokyo,L
jpn018.jpg,jpn018.thumb.jpg,Soba bistro,Tokyo,L
jpn019.jpg,jpn019.thumb.jpg,Cookpad,Tokyo,L
jpn020.jpg,jpn020.thumb.jpg,Hakone Shrine,Tokyo,L
sfo001.jpg,sfo001.thumb.jpg,Caltrain @ Millbrae,San Francisco,L
sfo002.jpg,sfo002.thumb.jpg,Google I/O 2012 @ Moscone West,San Francisco,L
sfo003.jpg,sfo003.thumb.jpg,Google I/O 2012,San Francisco,L
sfo004.jpg,sfo004.thumb.jpg,Mexican food @ Sunnyvale,San Francisco,P
sfo005.jpg,sfo005.thumb.jpg,Apple Store @ San Francisco,San Francisco,L
sfo006.jpg,sfo006.thumb.jpg,Cable Car,San Francisco,L
sfo007.jpg,sfo007.thumb.jpg,Luggages back to TPE,San Francisco,P
sfo008.jpg,sfo008.thumb.jpg,Berkeley,San Francisco,L
sfo009.jpg,sfo009.thumb.jpg,"Mikeâ€™s Lab @ Soda Hall, Berkeley",San Francisco,L
sfo010.jpg,sfo010.thumb.jpg,Powell station @ San Francisco,San Francisco,P
sfo011.jpg,sfo011.thumb.jpg,Jellybean @ Googleplex,San Francisco,P
sfo012.jpg,sfo012.thumb.jpg,Google bikes,San Francisco,L
sfo013.jpg,sfo013.thumb.jpg,Square in font of Building 43 @ Googleplex,San Francisco,L
sfo014.jpg,sfo014.thumb.jpg,Building 43 @ Googleplex,San Francisco,P
sfo015.jpg,sfo015.thumb.jpg,Apple Campus @ Cupertino,San Francisco,P
sfo016.jpg,sfo016.thumb.jpg,"1 Infinite Loop, Cupertino CA.",San Francisco,P
sin001.jpg,sin001.thumb.jpg,Singapore Changi Airport,Singapore,P
sin002.jpg,sin002.thumb.jpg,Singapore subway,Singapore,L
sin003.jpg,sin003.thumb.jpg,Hippo bus @ Singapore,Singapore,L
sin004.jpg,sin004.thumb.jpg,St. Andrew Cathedral,Singapore,L
sin005.jpg,sin005.thumb.jpg,Marina Bay Sands,Singapore,L
sin006.jpg,sin006.thumb.jpg,Singapore Buildings,Singapore,L
sin007.jpg,sin007.thumb.jpg,Parliament of Singapore,Singapore,L
sin008.jpg,sin008.thumb.jpg,Marina Bay,Singapore,L
sin009.jpg,sin009.thumb.jpg,Merlion @ One Fullerton,Singapore,L
sin010.jpg,sin010.thumb.jpg,Bak kut teh,Singapore,P
sin011.jpg,sin011.thumb.jpg,Swimming pool @ Marina Bay Sands,Singapore,L
sin012.jpg,sin012.thumb.jpg,Swimming pool @ Marina Bay Sands,Singapore,L
sin013.jpg,sin013.thumb.jpg,Swimming pool @ Marina Bay Sands,Singapore,L
sin014.jpg,sin014.thumb.jpg,Swimming pool @ Marina Bay Sands,Singapore,L
sin015.jpg,sin015.thumb.jpg,Merlion @ Santosa,Singapore,L
sin016.jpg,sin016.thumb.jpg,Merlion,Singapore,P
sin017.jpg,sin017.thumb.jpg,Gate A16 @ Changi Airport,Singapore,L